ACMG.genes	cosmic_10Nov17_somatic	cosmic_10Nov17_germline	NET_list	Targetv3_list	Nimblegen_Cancer_list	twelve.som.indel.recurrent	twelve.som.snp.recurrent	twelve.germ.indel.recurrent	twelve.germ.snp.recurrent	Michelle.gene.list
BRCA2	Gene Symbol	ALK	APC	ABL1	ABCC6	TPR	SENCR	NOTCH3	HMGN2	APC
TP53	A1CF	APC	APOBEC	ALK	ABI1	KIT	KRT15	POM121L8P	ROCK1P1	ATM
STK11	ABI1	APOBEC3B	ARID1A	ROS1	ABL1	COL23A1	SSX1	CHIC2	KRT18	BARD1
MLH1	ABL1	AR	ATRX	BCL2	ABL2	MIR548F1	OPTN	NOTCH2	NUTM2D	BLM
MSH2	ABL2	ATM	BCOR	RARA	ACSL3		ACSL6	FARS2	BCRP2	BMPR1A
MSH6	ACKR3	ATR	BRCA1	CTNNB1	ACSL6		KAT6A		PLK1	BRCA1
PMS2	ACSL3	AXIN2	BRCA2	ASXL1	AFF1		FANCD2		POM121L1P	BRCA2
APC	ACSL6	BAP1	CDC42BPB	TET2	AFF3		BRCA1		POM121L8P	BRIP1
MUTYH	ACVR1	BARD1	DAXX	IDH1	AFF4		THRAP3		FLCN	CDH1
VHL	ACVR2A	BLM	DEPDC5	IDH2	AIP		FLT3		BAGE2	CDK4
MEN1	AFF1	BMPR1A	DIS3L2	MLH1	AKAP9		MYH9		PDE4DIP	CDKN2A
RET	AFF3	BRCA1	DST	MSH2	AKT1		PDE4DIP		MLF1	CHEK2
BRCA1	AFF4	BRCA2	EGFR	MSH6	AKT2		RICTOR		FANCD2	EPCAM
NTRK1	AKAP9	BRIP1	KLF7	MAP2K4	AKT3		RB1		FAM230C	FANCA
PTEN	AKT1	BUB1B	MEN1	MAP3K1	ALDH2		TSHR		EP400NL	FANCC
RB1	AKT2	CDC73	MLH1	EZH2	ALK		BRIP1		SLC22A2	FANCD2
SDHD	AKT3	CDH1	MLL3	KIT	APC		DDX10		FGFR1OP	FANCE
SDHAF2	ALDH2	CDH10	MSH2	EGFR	AR		MKL1		SLC4A5	FANCF
SDHC	ALK	CDK4	MSH6	BRAF	ARHGAP26		ATRX		ZNF717	FANCG
SDHB	AMER1	CDKN1B	MUTYH	FLT3	ARHGEF12		PBX1		NIN	FH
TSC1	ANK1	CDKN2A	NF1	NRAS	ARID1A		LPP		RPA1	FLCN
TSC2	APC	CHEK2	PIK3CA	MAP2K1	ARID1B				NOTCH2NL	MEN1
WT1	AR	CXCR4	PMS2	RAB35	ARID2				STAT3	MET
NF2	ARAF	CYLD	PRRC2A	XPO1	ARID3A				KMT2C	MITF
COL3A1	ARHGAP26	DDB2	PTEN	ZNRF3	ARID3B				SCMH1	MLH1
FBN1	ARHGAP5	DICER1	RET	RNF43	ARID4A				NOTCH2	MLH3
TGFBR1	ARHGEF12	EGFR	SDHA	PIK3CA	ARID4B				AKAP9	MRE11A
TGFBR2	ARID1A	ERBB4	SDHB	PIK3CB	ARID5A				NBPF25P	MSH2
SMAD3	ARID1B	ERCC2	SDHC	PIK3R1	ARID5B				HS3ST4	MSH6
ACTA2	ARID2	ERCC3	SDHD	CDK12	ARNT				GPR39	MUTYH
MYLK	ARNT	ERCC4	SETD2	RHEB	ASPSCR1				AKT3	NBNX1
MYH11	ASPSCR1	ERCC5	TSC1	HRAS	ASXL1				COL23A1	NF1
MYBPC3	ASXL1	EXT1	TSC2	GNA11	ATF1				GPHN	PALB2
MYH7	ASXL2	EXT2	URGCP	GNAQ	ATIC					PMS1
TNNT2	ATF1	FANCA	VHL	ERBB4	ATM					PMS2
TNNI3	ATIC	FANCC	ZNF292	JAK3	ATR					PTEN
TPM1	ATM	FANCD2		JAK2	ATRX					RAD50
MYL3	ATP1A1	FANCE		PTCH1	AURKA					RAD51
ACTC1	ATP2B3	FANCF		SMO	AXIN2					RAD51C
PRKAG2	ATR	FANCG		DDR2	BAP1					RAD51D
GLA	ATRX	FAT1		ERCC2	BCL10					RET
MYL2	AXIN1	FEN1		MYD88	BCL11A					SDHA
LMNA	AXIN2	FH		AKT1	BCL11B					SDHC
RYR2	B2M	FLCN		AKT2	BCL2					SMAD4
PKP2	BAP1	GPC3		AKT3	BCL3					STK11
DSP	BARD1	HNF1A		KRAS	BCL6					TP53
DSC2	BCL10	HRAS		GNAS	BCL7A					TSC1
TMEM43	BCL11A	KDR		NPM1	BCL9					TSC2
DSG2	BCL11B	KIT		RET	BCOR					VHL
KCNQ1	BCL2	LMO1		FBXW7	BCR					
KCNH2	BCL2L12	LZTR1		MPL	BIRC3					
SCN5A	BCL3	MAX		VHL	BLID					
LDLR	BCL6	MEN1		WT1	BLM					
APOB	BCL7A	MLH1		FLCN	BMPR1A					
PCSK9	BCL9	MPL		DNMT3A	BRAF					
RYR1	BCL9L	MSH2		MED12	BRCA1					
CACNA1S	BCLAF1	MSH6		RB1	BRCA2					
	BCOR	MUTYH		SMAD2	BRD3					
	BCORL1	NBN		SMAD4	BRD4					
	BCR	NF1		RUNX1	BRIP1					
	BIRC3	NF2		MEN1	BTG1					
	BIRC6	NTHL1		MYC	BUB1B					
	BMP5	PALB2		SMARCA4	C15orf55					
	BRAF	PDGFRA		SMARCB1	CANT1					
	BRCA1	PHOX2B		ERG	CARD11					
	BRCA2	PMS1		NTRK3	CARS					
	BRD3	PMS2		TMPRSS2	CASC5					
	BRD4	POLD1		RSPO2	CBFA2T3					
	BTG1	POLE		ETV1	CBFB					
	BTK	POLQ		ETV4	CBL					
	C15orf65	PRF1		ETV5	CBLB					
	C2orf44	PRKAR1A		ETV6	CBLC					
	CACNA1D	PTCH1		NKX2-1	CCDC6					
	CALR	PTEN		CDH1	CCNB1IP1					
	CAMTA1	PTPN13		EWSR1	CCND1					
	CANT1	RB1		CDKN1A	CCND2					
	CARD11	RECQL4		CDKN1B	CCND3					
	CARS	RET		ERRFI1	CCNE1					
	CASC5	SBDS		NFKBIA	CD274					
	CASP8	SDHA		BRCA2	CD74					
	CBFA2T3	SDHAF2		BRCA1	CD79A					
	CBFB	SDHB		TP53	CD79B					
	CBL	SDHC		NF1	CDC73					
	CBLB	SDHD		NF2	CDH1					
	CBLC	SETBP1		PTEN	CDH11					
	CCDC6	SMAD4		ATR	CDH6					
	CCNB1IP1	SMARCB1		ATM	CDK12					
	CCNC	SMARCE1		STK11	CDK2AP2					
	CCND1	SPOP		TSC2	CDK4					
	CCND2	STAT3		TSC1	CDK6					
	CCND3	STK11		APC	CDK8					
	CCNE1	SUFU		BAP1	CDKN1A					
	CCR4	TERT		CDKN2A	CDKN1B					
	CCR7	TGFBR2		CDKN2B	CDKN2A					
	CD209	TMEM127		CREBBP	CDKN2B					
	CD274	TP53		CEBPA	CDKN2C					
	CD28	TP63		AURKA	CDKN2D					
	CD74	TSC1		ERBB2	CDX2					
	CD79A	TSC2		CRKL	CEBPA					
	CD79B	TSHR		MDM4	CHCHD7					
	CDC73	VHL		MDM2	CHD5					
	CDH1	WAS		CCND2	CHD6					
	CDH10	WRN		CCND3	CHEK1					
	CDH11	WT1		CDK4	CHEK2					
	CDH17	XPA		CDK6	CHIC2					
	CDK12	XPC		CCNE1	CHN1					
	CDK6			IGF1R	CIC					
	CDKN1A			CCND1	CIITA					
	CDKN1B			FGFR1	CLP1					
	CDKN2A			MAPK1	CLTC					
	CDKN2C			MAPK3	CLTCL1					
	CDX2			MCL1	CNBP					
	CEBPA			AR	CNTRL					
	CEP89			ESR1	COL1A1					
	CHCHD7			MET	COX6C					
	CHD2			BRD3	CREB1					
	CHD4			BRD4	CREB3L1					
	CHIC2			BRD2	CREB3L2					
	CHST11			RAF1	CREBBP					
	CIC			PDGFRA	CRKL					
	CIITA			PDGFRB	CRLF2					
	CLIP1			FGFR2	CRTC1					
	CLP1			FGFR3	CRTC3					
	CLTC			EPHA3	CSF1R					
	CLTCL1			ERBB3	CTNNB1					
	CNBD1			MITF	CXCR7					
	CNBP			MAP2K2	CYLD					
	CNOT3			SYK	CYP1B1					
	CNTNAP2			KDR	DAXX					
	CNTRL			ARAF	DDB2					
	COL1A1			NOTCH2	DDIT3					
	COL2A1			MTOR	DDX10					
	COL3A1			NOTCH1	DDX5					
	COX6C				DDX6					
	CREB1				DEK					
	CREB3L1				DICER1					
	CREB3L2				DNMT3A					
	CREBBP				DUX4					
	CRLF2				EBF1					
	CRNKL1				EGFR					
	CRTC1				EIF4A2					
	CRTC3				ELAC2					
	CSF1R				ELF4					
	CSF3R				ELK4					
	CSMD3				ELL					
	CTCF				ELN					
	CTNNA2				EML4					
	CTNNB1				EP300					
	CTNND1				EPCAM					
	CTNND2				EPHA10					
	CUL3				EPHA3					
	CUX1				EPHA5					
	CXCR4				EPHA6					
	CYLD				EPHB6					
	CYP2C8				EPS15					
	CYSLTR2				ERBB2					
	DAXX				ERBB3					
	DCAF12L2				ERBB4					
	DCC				ERC1					
	DCTN1				ERCC1					
	DDIT3				ERCC2					
	DDR2				ERCC3					
	DDX10				ERCC4					
	DDX3X				ERCC5					
	DDX5				ERG					
	DDX6				ETV1					
	DEK				ETV4					
	DGCR8				ETV5					
	DICER1				ETV6					
	DNAJB1				EWSR1					
	DNM2				EXT1					
	DNMT3A				EXT2					
	DROSHA				EZH2					
	DUX4L1				FAM123B					
	EBF1				FAM22A					
	ECT2L				FAM22B					
	EED				FAM46C					
	EGFR				FANCA					
	EIF1AX				FANCC					
	EIF3E				FANCD2					
	EIF4A2				FANCE					
	ELF3				FANCF					
	ELF4				FANCG					
	ELK4				FAS					
	ELL				FBXO11					
	ELN				FBXW7					
	EML4				FCGR2B					
	EP300				FCRL4					
	EPAS1				FEV					
	EPHA3				FGF23					
	EPHA7				FGFR1					
	EPS15				FGFR1OP					
	ERBB2				FGFR2					
	ERBB3				FGFR3					
	ERBB4				FGFR4					
	ERC1				FH					
	ERG				FHIT					
	ESR1				FHL1					
	ETNK1				FIP1L1					
	ETV1				FKBP1B					
	ETV4				FKBP9					
	ETV5				FLCN					
	ETV6				FLI1					
	EWSR1				FLT1					
